,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
GP,1.0,0.7239378895620698,0.39616809940572134,0.5100615529837967,0.444142171808,0.4309614913097475,0.5245279200191767,0.17999495463142623,0.5749856284295415,0.15632280506220902,0.46062047449092347,0.5858069240363794,0.5924538459853045,0.4919992919094858,0.387630488201297,0.33811787982532304,0.462909860933615,0.20489458639893685,0.27048036950044085,0.3018618832105263,0.023770191660313567,0.05416741160912367,0.3757083613442226,0.3961991082510103,0.4796732964755074,0.18188115714663314,0.36624463530685597,0.1736551151254985,0.23479095452303556,0.23840042382424487,0.6747665049029596,0.6591903235421726,0.2045424446817575,0.675848538268068,0.6603822427457665,0.2031614853645727,0.6657352965103389,0.6466278665626936,0.19597109458898204,0.5772592722023524,0.5271899852810844,0.19205674445921214,0.6538319780548415,0.6307938357564382,0.21024951140102452,0.6518474415805064,0.6327709376995757,0.2089422811022849,0.6403013009809189,0.6090387991388343,0.19778970338754612,0.5520590700466038,0.48889586888442865,0.17175042506221047,0.6390932393941505,0.6220005374768081,0.18674331272463232,0.4620808698539951,0.433745373607255,0.10994309367114372,0.5872570022529234,0.5695890651289031,0.16889515473039965,0.4209331779687436,0.33447828324451956,0.09057674748633221,0.10939549702968998,0.03783410022113218,0.10944880986473277,0.5742895182958205,0.6904844646823008,0.5480686850365044,0.6939006601584448,0.07025169494099602,0.5647337205595482,0.6713708081391127,0.6196422156821674,0.06507489871990922
TOI,0.7239378895620698,1.0,0.17776758540966675,0.5756132169873847,0.41667539354220456,0.6055664023910565,0.45160289812279203,-0.22543870257668766,0.5169593954837362,-0.1389013209007729,0.12797097619284517,0.6593426746061061,0.545669294865341,0.22658822094090447,-0.010545416906962245,0.15192958168127838,0.4297626350848634,0.1364411021944002,0.26646994864405826,0.3526930351577103,-0.12593822745449368,-0.05025070003533666,0.18631124676213048,0.662535971427801,0.4298482122046082,0.0653513143411248,0.4529204456247961,0.5701003716422953,0.0033188032836332527,-0.0003194277525606477,0.9304173709826696,0.9396343409272043,0.22208473558633798,0.9323932484229972,0.9459896241999025,0.21184954792791968,0.9262466952921429,0.9348943090189971,0.2026080320946449,0.8332731093431114,0.7935980788076646,0.23793184145974325,0.9044064965777627,0.9178969130799366,0.21433954011748904,0.9120194811539281,0.9212030615669141,0.2317328932921361,0.8775516613629953,0.8877861883959743,0.18691229984907512,0.77808227346787,0.7409608485953391,0.17798174174294992,0.9071270714387701,0.9047150419286499,0.23188018580053088,0.6940334628707038,0.6429514082021803,0.1816476508972205,0.8009007668066024,0.7865609989196745,0.20619351752530116,0.6068518875632443,0.5063405338817918,0.10763117715917886,0.23496439203296818,-0.0319142683290971,0.15452586104457167,0.6424624694183532,0.8362614906990868,0.6388629087443506,0.8925365201148291,0.06346946687806018,0.8348771105748947,0.9170288167848041,0.819161861243311,0.20583477969768124
Goals,0.39616809940572134,0.17776758540966675,1.0,0.5224462821722707,0.5714818932365562,0.2770710027435948,0.8468989581617582,0.6738018843688267,0.7383656772419803,0.7883428798363286,0.8411153142000903,0.6011104797950217,0.7202111921108951,0.8583092552115804,0.7837272072437942,0.5874814257057249,0.48429913366629623,-0.03505890529032852,-0.0026460535816168968,0.03479729164972465,-0.12266214516713043,-0.014077740671209859,0.4630415922184272,0.2146809401360168,0.5597651529637323,-0.1066248778633375,-0.09523139532864883,-0.35923437952191384,0.32327392320740644,0.346289152358128,0.29557672255998213,0.1365293592690403,0.3111665417196107,0.3051802409115733,0.1578057097893869,0.29723198809650797,0.30796531823158363,0.1674559250819282,0.2863187339153801,0.441814199184134,0.17696126907342244,0.36446734967132466,0.3347029430190998,0.17215660412768224,0.30874591071779184,0.3415865724693431,0.16386184997959424,0.32454087432145556,0.32029588778444984,0.165871502593112,0.25985824770603694,0.3914046921047629,0.16798134083258603,0.2746597192667177,0.34568189441202785,0.15525495412337453,0.3213340874312172,0.4004501582726899,0.1589142203757388,0.26498864501007596,0.2431422772000578,0.08278308526543732,0.29210047752051466,0.31948354214968405,0.07696177223945873,0.18063070892434246,0.4159648079886104,-0.05404206974549607,0.27495803115461004,0.5640720144840392,0.23692952937743544,0.018717208752751794,0.04422693264142454,0.43563749493455173,0.35901439136514396,0.16991265370357186,0.0351069326862609,0.3407904426843157
Total Assists,0.5100615529837967,0.5756132169873847,0.5224462821722707,1.0,0.9040562861393598,0.797972273201403,0.8958709358370969,0.3961377762029811,0.6451054368960937,0.23950554822950124,0.5063633352183556,0.6434699743542437,0.651615783392383,0.5780686704853129,0.39885982494179284,0.3936768835079131,0.47229139846342033,-0.015386088653985311,0.06694447664689776,0.14042915915933804,-0.19559337675296745,-0.04270870328176681,0.383952385965091,0.5419154017198448,0.632532806110252,-0.17460638622376112,0.11925315781400493,0.016638138309800612,0.2544040577219332,0.26605291598241276,0.6580789049199766,0.49629562397130916,0.39638604618342776,0.6690818196887546,0.52246168225767,0.3768889816970491,0.6710080647902624,0.5281257331320867,0.3644184576266779,0.7885512277968468,0.47053624093069785,0.48251869598523267,0.6852132533961804,0.5249737735919635,0.3869941254314469,0.6962668276976274,0.5139932059198152,0.4166874615162486,0.6600542927091636,0.5053873032828283,0.32916388281143466,0.728167156393099,0.4478579360322926,0.3693023062039116,0.6995327717546398,0.49763175466754134,0.4178143717618563,0.6817713463475593,0.39777100801822735,0.3449039215587748,0.5577357438065795,0.38687510660594193,0.3693738757763149,0.5508222750786738,0.24557567540182482,0.2340366031491128,0.5407649224788874,-0.05865332767384031,0.36610154365215425,0.7145079830637233,0.511556438788053,0.27402054429773615,0.40822123081301553,0.3754735787785692,0.6834120374063044,0.5284509444816888,0.3742507176226439,0.3992426965718195
First Assists,0.444142171808,0.41667539354220456,0.5714818932365562,0.9040562861393598,1.0,0.46381227743696213,0.861589048886036,0.48129735651828665,0.6339595457624075,0.308450133399022,0.5751378429284146,0.5911434437136277,0.6341100746936301,0.6280105284301593,0.48562431543092693,0.4486085585374575,0.45315713289422854,-0.009463930002759377,0.05300943013202297,0.11170793560196729,-0.16352283993705657,-0.014494656443417157,0.4286702628446258,0.4474520530941215,0.6197211131602166,-0.1841801964543296,0.03207568051472683,-0.12192580479447775,0.27956867576626493,0.30048619722033076,0.5083637937753597,0.3582499662388966,0.34394626721453625,0.5196758960019523,0.38398637069245106,0.32557909121028733,0.5227690812813787,0.39185574911164067,0.3143468910001523,0.6441302795940366,0.3588883678214493,0.423168995883509,0.5385756916231331,0.3934560191561642,0.33206760485027614,0.547696291469014,0.38165106868677495,0.35837783826365677,0.5157645660593982,0.37752201119095774,0.27889121571099107,0.580214470820991,0.3422141781431374,0.31052168645939704,0.5527027851767211,0.36788938598686727,0.36144272825966167,0.5756122122558862,0.30859633017304233,0.3143615999122363,0.42721367069553556,0.26790920982120825,0.325406849463909,0.45502786955717683,0.17685223915942563,0.21311367403969422,0.4858365363580356,-0.056534883390627455,0.32597252640352903,0.6342428702373694,0.39019733560332287,0.16341756720426293,0.2688022383190869,0.38909077178797763,0.5454475326341222,0.3801615795301801,0.2343942742676316,0.3708336707737112
Second Assists,0.4309614913097475,0.6055664023910565,0.2770710027435948,0.797972273201403,0.46381227743696213,1.0,0.6420186518517291,0.1424302994120872,0.44321678792983177,0.06149758949581002,0.2385793684265832,0.5002016706983267,0.4564990362255477,0.3126530838513808,0.14197107495452946,0.18342377214700414,0.3399603484130637,-0.018546904934113775,0.06401268518207852,0.13355962571479255,-0.17483883554955448,-0.0680868333675672,0.1913819598342663,0.49232022373085826,0.43723406832679657,-0.1022085793758568,0.20195562062149966,0.20641433006793472,0.13310454693190377,0.12775433066322872,0.64721004651967,0.5235440616903702,0.3366231962805727,0.654065500114288,0.5414897008199528,0.32210958341507717,0.6536964905599795,0.5421334429147783,0.3120994307275873,0.7262064753689252,0.4692503491568866,0.40344544110872865,0.660851859589267,0.5333435926377834,0.3339058814914892,0.6709025489941591,0.5272294232070327,0.3583536332891376,0.6408687855999582,0.5152136595757675,0.28902041626756386,0.6911711056865166,0.44575545433958014,0.32761647630510676,0.6706124896309117,0.5127210532621611,0.3563676784202286,0.601492479884558,0.38934073783043815,0.2716293718474166,0.5536503662855828,0.42412870903506583,0.30677530818565857,0.5000995704120368,0.25964534876692685,0.18459528186629076,0.43580970978663214,-0.04185573759111766,0.2991948282603086,0.5866734038617383,0.5101274828704128,0.33754945548054205,0.46711524776678726,0.22961816868672816,0.6474283783084416,0.5592974415365396,0.44522043516985327,0.3046305676037569
Total Points,0.5245279200191767,0.45160289812279203,0.8468989581617582,0.8958709358370969,0.861589048886036,0.6420186518517291,1.0,0.5981520814420263,0.7870595336111397,0.5601567313567489,0.7540767468197065,0.7145180328025764,0.7816595722188161,0.8077540017945632,0.6571300348381014,0.5516371252856025,0.5468969624636386,-0.027863917117357865,0.040369913969785905,0.10570848049006408,-0.1858956879697125,-0.03397021723084538,0.48072893089381047,0.4498228369317402,0.6861528481072676,-0.16445075122654054,0.024746493840975936,-0.17681543457260113,0.3271076368357491,0.346365122191511,0.5644196877846295,0.3806492866308765,0.4093432074750891,0.5762857056230135,0.4080540625736996,0.38992312837952503,0.5789382350929044,0.41661492598881006,0.3764593789018262,0.7219885319590005,0.385653352430486,0.4908325338538448,0.6017296135384972,0.4170987140980056,0.40222474958582455,0.612209931993018,0.40592860953876914,0.4289729831022116,0.5785323802837752,0.4016088905582289,0.3406853378997686,0.6580634608364135,0.36683112848194827,0.37342977084904294,0.6163806892148814,0.39124016042236576,0.4280047532692971,0.6338429927371868,0.3308705698436733,0.35317470420372604,0.47451967708244064,0.2844047704591324,0.38256251499026694,0.5099884750635117,0.19325249737373995,0.2400766497107723,0.553991290701263,-0.06473859615848415,0.3715891179694764,0.7395194480938497,0.44248340770915373,0.18064128700676205,0.27762588254151505,0.46116141976588176,0.6132746392837074,0.4180979017842878,0.2516884845794193,0.4265612661206543
IPP,0.17999495463142623,-0.22543870257668766,0.6738018843688267,0.3961377762029811,0.48129735651828665,0.1424302994120872,0.5981520814420263,1.0,0.4195082015032879,0.6909092409450126,0.7050918548274085,0.2281568506441481,0.3938919144948703,0.6674583145917231,0.7200397730421565,0.4662391826456715,0.25122912922746715,-0.10370201211560176,-0.1334122449308168,-0.1372221728062869,-0.06163725690626744,0.0027818058379947236,0.37116809848273663,-0.07986217587110153,0.4144165503936676,-0.12512516972233317,-0.29059492579928053,-0.603835329714079,0.37505027143923864,0.4007411478103629,-0.13337099452637863,-0.22697928098164366,0.1055116535994266,-0.13069998379138578,-0.21454630921997825,0.09444692395425426,-0.13159675826438763,-0.20483629301211595,0.08274975799142464,-0.06276774393927079,-0.15615960003256718,0.07083704355116298,-0.10891167208707893,-0.1932993636717647,0.09150412920726007,-0.10748731267193476,-0.2033209417767676,0.10023647306259355,-0.11282682207676525,-0.18688364684301895,0.07143754910835903,-0.06105380310518089,-0.134827958459096,0.055714053824223474,-0.10026114871869514,-0.2061462860387471,0.10366141795944057,-0.04338697503131245,-0.12710672380910515,0.04732803080247935,-0.10888343203194446,-0.20336772376956078,0.10744142216568664,-0.05381071423338416,-0.1286677282440067,0.04026075807010038,0.06687864928234526,-0.010785033518766444,0.04242960045634492,0.22852446955858885,-0.08144438310483297,-0.14175609148277246,-0.3300171908604507,0.2962517071870793,-0.05488253538301185,-0.1984326178692703,-0.22568709566743664,0.10866340918649567
Shots,0.5749856284295415,0.5169593954837362,0.7383656772419803,0.6451054368960937,0.6339595457624075,0.44321678792983177,0.7870595336111397,0.4195082015032879,1.0,0.258263217172403,0.7873094879419102,0.9327269389171761,0.9838320967519215,0.8454460016544154,0.6379444531661416,0.644432184994201,0.7175110214431069,0.06816946320316848,0.14204056308022622,0.2036750461444263,-0.13697527491670738,0.020655427048657193,0.45967389040665546,0.44229481790461594,0.6131463611348648,-0.026467153471677628,0.08962829122514802,-0.07311930701287703,0.19268577477974574,0.201067914542411,0.6413707931846583,0.43871983318534563,0.4622259561398298,0.6556960891518266,0.4609602117673441,0.45459120127783753,0.6640064022909464,0.4719680906542197,0.4452335619768656,0.6369750915823118,0.415960735222765,0.36328985895730653,0.6581149715256488,0.4631260939137108,0.4356596883226681,0.6588605641356777,0.4565847346199092,0.44266361509099156,0.6340324684217071,0.44866049582262535,0.3691133317360336,0.588142183303375,0.39838636656224585,0.2731461162106866,0.6552751801425157,0.44225012842463146,0.42975623507110927,0.5387917061111027,0.34215243760286057,0.25571735522494415,0.5390722578683353,0.328610472581217,0.4379550936645582,0.4675274807645133,0.22832950328290372,0.1950095424392463,0.23253827213869036,-0.033531821735134186,0.15117844191720056,0.7092153586293395,0.498543395816055,0.2358249576210722,0.3755207518153602,0.3990523929078104,0.6388049947865545,0.4840729326613711,0.3274113369484801,0.3877762136959948
SH%,0.15632280506220902,-0.1389013209007729,0.7883428798363286,0.23950554822950124,0.308450133399022,0.06149758949581002,0.5601567313567489,0.6909092409450126,0.258263217172403,1.0,0.5578571554393719,0.11801596033036071,0.24586546197855524,0.5306717547002386,0.59613061617247,0.3153486584648453,0.12636832036780854,-0.09709064706760918,-0.10714069767255255,-0.10124769842851143,-0.06627859471199278,-0.03518627454517048,0.28284363236104265,-0.0520979993635226,0.3242765366317187,-0.10565985761622948,-0.19881503272684287,-0.4505133376959256,0.31401306674300267,0.3417595193792708,-0.07659247093956756,-0.13752366918260467,0.0755006390313326,-0.07562436358826756,-0.12714304174531632,0.06321171075258555,-0.07857504924496264,-0.12318999739239928,0.05521020452296495,0.11051616115596472,-0.08320180890373649,0.24153265985438427,-0.04546470124068267,-0.10981325330684863,0.08674603427883813,-0.037642094008724966,-0.11477332782952628,0.10050328544558614,-0.04839915945792234,-0.10770374403791119,0.07153656497535726,0.08052632289331486,-0.07557238160126485,0.17818706235827733,-0.028825882612886045,-0.11479225367261355,0.10445834782926418,0.12508716129201214,-0.05840728615030784,0.18807913497899076,-0.06989891646667672,-0.12955344874195482,0.069716877563769,0.0807963046308413,-0.07471022534071067,0.11294056685070931,0.3927431326273031,-0.019717632301107752,0.2820194969600694,0.23845925037062854,-0.032323673799157,-0.10905951972211078,-0.22862125402921493,0.28663844211398565,0.00544575603110681,-0.11903056420042964,-0.16566056715018435,0.14368038114108697
