Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2022-2023,Erik Karlsson,S.J,D,82,1667.8,16,48,29,19,64,66.67,152,10.53,8.15,355,206,123,22,12,31,30,11,10,0,1,13,84,73,29,92,16,0,1,0,1770,1533,53.59,1281,1160,52.48,913,832,52.32,96,96,50.0,86.13,77.39,52.67,938,833,52.96,386,341,53.09,44,48,47.83,552,492,52.87,34,40,45.95,1039,770,57.44,18,8,69.23,10.51,88.46,0.99,264,310,149,1026,63.92,743,571,417,64.05
2022-2023,Adam Larsson,SEA,D,82,1607.15,6,22,12,10,28,32.18,133,4.51,5.91,282,195,66,15,5,16,41,19,18,1,0,6,29,29,196,95,113,0,0,-,1613,1337,54.68,1235,986,55.61,834,691,54.69,87,66,56.86,73.33,63.48,53.6,764,669,53.31,301,289,51.02,41,39,51.25,463,380,54.92,31,22,58.49,736,585,55.72,15,5,75.0,10.43,90.45,1.009,249,341,160,1114,60.88,600,469,361,62.43
2022-2023,Drew Doughty,L.A,D,81,1566.5,4,15,3,12,19,32.2,88,4.55,4.11,186,124,49,11,4,13,20,10,10,0,0,17,46,21,95,151,9,0,0,-,1406,1274,52.46,1058,939,52.98,767,655,53.94,59,55,51.75,63.46,60.99,50.99,707,645,52.29,268,272,49.63,30,35,46.15,439,373,54.06,20,14,58.82,819,669,55.04,9,6,60.0,7.69,91.6,0.993,173,337,203,838,46.01,447,528,444,50.17
2022-2023,Owen Power,BUF,D,79,1560.383333,3,21,8,13,24,27.27,106,2.83,6.29,184,132,80,18,1,16,18,9,9,0,0,8,43,22,24,135,60,0,0,-,1527,1396,52.24,1146,1127,50.42,833,853,49.41,88,71,55.35,74.41,77.17,49.09,832,765,52.1,333,380,46.7,48,37,56.47,499,385,56.45,28,20,58.33,626,577,52.04,12,14,46.15,10.56,91.68,1.022,257,297,205,1127,55.63,539,431,419,56.26
2022-2023,Colton Parayko,STL,D,79,1554.75,4,17,5,12,21,42.0,117,3.42,5.03,229,163,53,9,2,14,28,14,14,0,0,7,44,55,108,114,112,0,0,-,1228,1463,45.63,918,1087,45.79,646,789,45.02,50,73,40.65,55.9,71.02,44.04,624,773,44.67,239,296,44.67,25,43,36.76,385,477,44.66,20,21,48.78,542,610,47.05,5,9,35.71,7.74,90.75,0.985,121,381,275,1219,30.56,326,534,521,38.49
2022-2023,Vince Dunn,SEA,D,81,1551.583333,13,29,12,17,42,40.78,121,10.74,6.38,260,179,83,10,2,16,51,23,22,1,0,21,47,41,106,94,58,0,0,-,1585,1302,54.9,1194,966,55.28,828,689,54.58,103,65,61.31,72.87,62.41,53.87,760,644,54.13,298,280,51.56,49,37,56.98,462,364,55.93,37,23,61.67,703,579,54.84,17,5,77.27,12.44,90.57,1.03,274,338,156,1073,63.72,604,471,347,63.51
2022-2023,Rasmus Dahlin,BUF,D,78,1529.283333,9,24,14,10,33,40.24,144,6.25,8.22,263,185,105,27,3,17,74,33,32,0,1,15,47,39,90,125,98,0,0,-,1558,1355,53.48,1183,1050,52.98,879,764,53.5,82,72,53.25,74.67,66.71,52.82,806,733,52.37,312,313,49.92,39,36,52.0,494,420,54.05,29,27,51.79,661,561,54.09,14,9,60.87,9.33,90.58,0.999,286,393,225,1047,55.97,591,552,467,55.86
2022-2023,Darnell Nurse,EDM,D,82,1524.183333,7,24,12,12,31,42.47,165,4.24,7.35,342,226,98,16,8,25,60,26,24,2,0,10,61,33,132,75,96,0,0,-,1483,1393,51.56,1115,1076,50.89,812,775,51.17,73,67,52.14,73.9,66.67,52.57,803,735,52.21,342,280,54.98,34,38,47.22,461,455,50.33,26,18,59.09,597,571,51.11,13,11,54.17,8.99,91.35,1.003,143,331,202,954,41.45,401,512,510,44.02
2022-2023,Miro Heiskanen,DAL,D,79,1523.633333,5,25,12,13,30,41.1,141,3.55,7.26,300,199,102,16,1,37,30,15,15,0,0,9,54,38,44,142,70,0,0,-,1610,1345,54.48,1153,1010,53.31,800,721,52.6,73,55,57.03,72.57,61.88,53.97,814,611,57.12,321,272,54.13,38,34,52.78,493,339,59.25,20,15,57.14,690,611,53.04,15,6,71.43,9.13,92.37,1.015,254,330,144,978,63.82,630,512,409,60.64
2022-2023,Cam Fowler,ANA,D,82,1509.2,6,20,10,10,26,47.27,87,6.9,4.66,190,125,65,15,1,8,12,6,6,0,0,3,38,22,14,69,71,0,0,-,1292,1664,43.71,970,1313,42.49,710,966,42.36,55,73,42.97,60.11,82.7,42.09,664,853,43.77,273,386,41.43,29,39,42.65,391,467,45.57,17,25,40.48,518,717,41.94,9,9,50.0,7.75,92.44,1.002,222,312,237,888,48.37,522,491,548,48.79
2022-2023,Ivan Provorov,PHI,D,82,1508.383333,5,13,5,8,18,32.14,96,5.21,4.83,220,150,65,13,4,14,22,11,11,0,0,6,70,21,85,132,92,0,0,-,1326,1487,47.14,967,1071,47.45,685,768,47.14,56,76,42.42,59.72,70.78,45.76,631,755,45.53,264,326,44.75,37,39,48.68,367,429,46.11,13,29,30.95,586,653,47.3,6,8,42.86,8.18,90.1,0.983,179,311,215,1138,45.43,455,485,425,51.7
2022-2023,Devon Toews,COL,D,80,1498.816667,6,28,10,18,34,43.04,134,4.48,5.94,254,174,74,17,6,18,22,10,10,0,0,12,29,40,73,53,91,0,0,-,1606,1330,54.7,1169,991,54.12,880,761,53.63,79,54,59.4,73.96,58.38,55.89,796,593,57.31,327,272,54.59,44,29,60.27,469,321,59.37,23,16,58.97,730,632,53.6,12,9,57.14,8.98,92.9,1.019,262,328,215,945,54.93,634,526,462,57.85
2022-2023,Gustav Forsling,FLA,D,82,1487.6,12,20,14,6,32,40.51,170,7.06,7.19,345,224,102,15,8,24,32,16,16,0,0,9,38,29,61,97,46,0,0,-,1646,1311,55.66,1227,1052,53.84,901,759,54.28,79,66,54.48,77.4,71.76,51.89,843,692,54.92,368,340,51.98,39,32,54.93,475,352,57.44,22,21,51.16,729,547,57.13,18,13,58.06,8.77,91.3,1.001,196,373,197,1010,49.87,493,549,471,51.14
2022-2023,Justin Faulk,STL,D,82,1487.05,7,26,14,12,33,44.0,144,4.86,6.35,263,182,82,17,2,10,28,14,14,0,0,6,47,39,107,63,92,0,0,-,1293,1555,45.4,997,1198,45.42,749,842,47.08,75,77,49.34,60.93,80.66,43.03,681,839,44.8,248,338,42.32,34,46,42.5,433,501,46.36,32,19,62.75,521,642,44.8,9,12,42.86,10.01,90.86,1.009,237,285,197,1261,54.61,525,406,370,58.66
2022-2023,Josh Morrissey,WPG,D,78,1473.35,12,28,19,9,40,53.33,127,9.45,7.58,274,185,98,19,2,18,37,17,16,1,0,15,53,28,80,65,87,0,0,-,1483,1412,51.23,1114,1053,51.41,773,772,50.03,75,62,54.74,72.83,70.9,50.67,765,721,51.48,322,304,51.44,38,34,52.78,443,417,51.51,23,20,53.49,637,587,52.04,14,8,63.64,9.7,91.97,1.017,266,307,187,1069,58.72,535,449,424,55.79
2022-2023,Quinn Hughes,VAN,D,78,1469.2,4,27,13,14,31,38.27,95,4.21,3.95,227,135,69,10,6,9,24,12,12,0,0,18,33,41,25,85,56,0,0,-,1337,1240,51.88,963,930,50.87,716,657,52.15,81,61,57.04,59.59,62.19,48.93,689,643,51.73,281,287,49.47,45,37,54.88,408,356,53.4,25,17,59.52,580,518,52.82,11,6,64.71,11.31,90.72,1.02,176,259,167,1127,51.31,434,400,400,52.04
