Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2022-2023,Erik Karlsson,S.J,D,82,1667.8,16,48,29,19,64,66.67,152,10.53,8.15,355,206,123,22,12,31,30,11,10,0,1,13,84,73,29,92,16,0,1,0
2022-2023,Adam Larsson,SEA,D,82,1607.15,6,22,12,10,28,32.18,133,4.51,5.91,282,195,66,15,5,16,41,19,18,1,0,6,29,29,196,95,113,0,0,-
2022-2023,Drew Doughty,L.A,D,81,1566.5,4,15,3,12,19,32.2,88,4.55,4.11,186,124,49,11,4,13,20,10,10,0,0,17,46,21,95,151,9,0,0,-
2022-2023,Owen Power,BUF,D,79,1560.383333,3,21,8,13,24,27.27,106,2.83,6.29,184,132,80,18,1,16,18,9,9,0,0,8,43,22,24,135,60,0,0,-
2022-2023,Colton Parayko,STL,D,79,1554.75,4,17,5,12,21,42,117,3.42,5.03,229,163,53,9,2,14,28,14,14,0,0,7,44,55,108,114,112,0,0,-
2022-2023,Vince Dunn,SEA,D,81,1551.583333,13,29,12,17,42,40.78,121,10.74,6.38,260,179,83,10,2,16,51,23,22,1,0,21,47,41,106,94,58,0,0,-
2022-2023,Rasmus Dahlin,BUF,D,78,1529.283333,9,24,14,10,33,40.24,144,6.25,8.22,263,185,105,27,3,17,74,33,32,0,1,15,47,39,90,125,98,0,0,-
2022-2023,Darnell Nurse,EDM,D,82,1524.183333,7,24,12,12,31,42.47,165,4.24,7.35,342,226,98,16,8,25,60,26,24,2,0,10,61,33,132,75,96,0,0,-
2022-2023,Miro Heiskanen,DAL,D,79,1523.633333,5,25,12,13,30,41.1,141,3.55,7.26,300,199,102,16,1,37,30,15,15,0,0,9,54,38,44,142,70,0,0,-
2022-2023,Cam Fowler,ANA,D,82,1509.2,6,20,10,10,26,47.27,87,6.9,4.66,190,125,65,15,1,8,12,6,6,0,0,3,38,22,14,69,71,0,0,-
2022-2023,Ivan Provorov,PHI,D,82,1508.383333,5,13,5,8,18,32.14,96,5.21,4.83,220,150,65,13,4,14,22,11,11,0,0,6,70,21,85,132,92,0,0,-
2022-2023,Devon Toews,COL,D,80,1498.816667,6,28,10,18,34,43.04,134,4.48,5.94,254,174,74,17,6,18,22,10,10,0,0,12,29,40,73,53,91,0,0,-
2022-2023,Gustav Forsling,FLA,D,82,1487.6,12,20,14,6,32,40.51,170,7.06,7.19,345,224,102,15,8,24,32,16,16,0,0,9,38,29,61,97,46,0,0,-
2022-2023,Justin Faulk,STL,D,82,1487.05,7,26,14,12,33,44,144,4.86,6.35,263,182,82,17,2,10,28,14,14,0,0,6,47,39,107,63,92,0,0,-
2022-2023,Josh Morrissey,WPG,D,78,1473.35,12,28,19,9,40,53.33,127,9.45,7.58,274,185,98,19,2,18,37,17,16,1,0,15,53,28,80,65,87,0,0,-
2022-2023,Quinn Hughes,VAN,D,78,1469.2,4,27,13,14,31,38.27,95,4.21,3.95,227,135,69,10,6,9,24,12,12,0,0,18,33,41,25,85,56,0,0,-
2022-2023,K'Andre Miller,NYR,D,79,1465.3,7,24,9,15,31,46.27,101,6.93,5.47,215,149,75,14,5,10,35,16,15,1,0,4,64,50,152,91,72,0,0,-
2022-2023,Matt Dumba,MIN,D,79,1453.85,4,10,6,4,14,31.11,88,4.55,5.02,236,143,65,12,4,20,67,28,25,3,0,15,32,14,96,56,83,0,0,-
2022-2023,Brett Pesce,CAR,D,82,1449.25,2,18,11,7,20,30.77,123,1.63,5.09,300,186,66,10,8,24,33,15,14,1,0,10,19,50,32,108,65,0,0,-
2022-2023,Nick Leddy,STL,D,78,1448.033333,2,18,10,8,20,30.77,73,2.74,3.84,155,110,49,7,2,9,20,10,10,0,0,14,33,40,37,44,70,0,0,-
2022-2023,Scott Mayfield,NYI,D,82,1442.233333,6,16,7,9,22,43.14,118,5.08,4.98,291,171,70,14,2,24,70,27,25,0,2,14,59,21,99,89,106,0,0,-
2022-2023,Ryan Pulock,NYI,D,82,1438.35,4,17,8,9,21,31.34,110,3.64,4.82,266,164,64,4,2,24,12,6,6,0,0,7,34,19,132,105,85,0,0,-
2022-2023,Adam Fox,NYR,D,82,1435.05,8,26,12,14,34,49.28,101,7.92,6.76,207,138,100,27,3,12,20,10,10,0,0,13,58,65,19,85,78,0,0,-
2022-2023,Mikey Anderson,L.A,D,77,1433.816667,4,13,2,11,17,29.31,83,4.82,4.21,181,125,60,10,0,15,38,15,14,0,1,12,27,17,150,158,11,0,0,-
2022-2023,Brady Skjei,CAR,D,81,1433.666667,11,16,6,10,27,45,160,6.88,7.12,354,243,105,21,4,32,38,19,19,0,0,4,46,32,64,70,43,0,0,-
2022-2023,MacKenzie Weegar,CGY,D,81,1430.733333,4,22,8,14,26,41.94,138,2.9,7.18,320,205,88,14,4,22,39,18,17,1,0,9,53,34,167,118,80,0,0,-
2022-2023,Mikhail Sergachev,T.B,D,79,1422.6,7,26,15,11,33,45.83,120,5.83,5.87,279,177,80,13,5,21,49,23,22,1,0,10,39,44,108,123,19,0,0,-
2022-2023,Dougie Hamilton,N.J,D,82,1422.55,13,23,11,12,36,44.44,208,6.25,8.81,411,287,125,23,12,31,44,22,22,0,0,6,65,18,58,71,9,0,0,-
2022-2023,Neal Pionk,WPG,D,82,1419.483333,6,18,7,11,24,42.11,113,5.31,5.12,234,171,48,12,7,16,35,16,15,1,0,12,44,27,135,133,98,0,0,-
2022-2023,Jacob Trouba,NYR,D,82,1418.733333,5,16,8,8,21,31.82,169,2.96,6.72,311,216,80,16,6,37,57,21,16,5,0,16,45,29,199,78,135,0,0,-
2022-2023,Brandon Montour,FLA,D,80,1416.9,11,22,11,11,33,39.76,163,6.75,9.64,302,229,104,31,10,23,79,22,17,1,4,18,43,27,86,70,60,0,0,-
2022-2023,Brayden McNabb,VGK,D,82,1408.4,1,11,6,5,12,20,86,1.16,4.14,214,127,54,7,1,22,37,14,11,3,0,12,25,33,175,154,126,0,0,-
2022-2023,Andrew Peeke,CBJ,D,80,1408.133333,5,5,2,3,10,22.73,81,6.17,2.58,176,115,38,4,3,12,22,11,11,0,0,13,28,21,157,111,142,0,0,-
2022-2023,Noah Hanifin,CGY,D,81,1406.833333,5,19,10,9,24,35.29,129,3.88,6.35,291,194,84,18,3,25,27,11,10,1,0,5,43,30,68,87,85,0,0,-
2022-2023,Brian Dumoulin,PIT,D,82,1401.983333,1,18,12,6,19,36.54,69,1.45,3.49,173,105,58,9,2,19,14,7,7,0,0,9,40,29,104,170,95,0,0,-
2022-2023,Tyler Myers,VAN,D,78,1399.116667,1,11,6,5,12,21.43,93,1.08,4.44,206,130,65,10,4,6,64,28,26,2,0,4,43,20,81,89,105,0,0,-
2022-2023,Rasmus Andersson,CGY,D,79,1393.05,8,16,11,5,24,35.29,110,7.27,5.51,206,156,63,14,6,15,18,9,9,0,0,12,41,21,40,86,94,0,0,-
2022-2023,Travis Sanheim,PHI,D,81,1391.566667,6,12,9,3,18,39.13,94,6.38,6.04,174,131,64,20,4,10,38,19,19,0,0,12,37,18,58,131,102,0,0,-
2022-2023,Brent Burns,CAR,D,82,1390.983333,12,18,13,5,30,46.88,184,6.52,6.71,412,269,109,18,3,38,38,19,19,0,0,8,36,39,34,40,48,0,0,-
2022-2023,Samuel Girard,COL,D,76,1387.9,4,21,7,14,25,45.45,108,3.7,4.27,242,140,69,9,4,14,14,7,7,0,0,8,33,37,62,94,92,0,0,-
2022-2023,Jonas Siegenthaler,N.J,D,80,1382.883333,3,16,7,9,19,24.36,74,4.05,2.67,178,125,32,2,4,14,42,21,21,0,0,12,35,22,86,159,6,0,0,-
2022-2023,Hampus Lindholm,BOS,D,80,1381.633333,6,22,12,10,28,36.84,121,4.96,6.12,242,159,87,19,9,17,40,20,20,0,0,14,52,25,67,127,63,0,0,-
2022-2023,Nicolas Hague,VGK,D,81,1377.683333,2,14,9,5,16,27.59,99,2.02,4.08,240,151,59,9,3,20,51,16,13,1,2,13,25,18,112,194,111,0,0,-
2022-2023,Jack Johnson,"CHI, COL",D,83,1375,2,3,1,2,5,13.16,86,2.33,3.07,163,110,35,9,1,6,28,14,14,0,0,10,35,14,104,90,95,0,0,-
