Year,Player,Team,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2021-2022,Patrice Bergeron,BOS,C,73,891.1833333,1143,600,65.58,914,463,66.38,720,351,67.23,49,25,66.22,51.9,23.11,69.19,561,280,66.71,207,92,69.23,28,12,70,354,188,65.31,12,11,52.17,544,290,65.23,9,2,81.82,6.81,92.88,0.997,241,206,153,663,61.17,482,313,302,61.48
2021-2022,Brad Marchand,BOS,L,70,908.0833333,1103,658,62.63,883,513,63.25,695,384,64.41,52,34,60.47,50.9,27.54,64.9,532,321,62.37,200,115,63.49,29,19,60.42,332,206,61.71,14,14,50,533,302,63.83,9,1,90,7.48,91.15,0.986,220,194,143,636,60.61,430,298,297,59.15
2021-2022,Mason Marchment,FLA,L,54,701.4333333,762,495,60.62,572,358,61.51,435,281,60.75,51,24,68,39.14,22.38,63.63,407,245,62.42,171,100,63.1,27,13,67.5,236,145,61.94,17,8,68,309,223,58.08,6,3,66.67,11.72,91.46,1.032,90,158,101,531,47.12,217,234,211,50.7
2021-2022,Auston Matthews,TOR,C,73,1175.383333,1374,927,59.71,1050,710,59.66,750,521,59.01,88,60,59.46,70.71,39.77,64,814,474,63.2,327,191,63.13,51,36,58.62,487,283,63.25,29,18,61.7,530,407,56.56,8,6,57.14,11.73,88.48,1.002,228,258,124,802,64.77,486,396,296,62.15
2021-2022,Matthew Tkachuk,CGY,L,82,1181.766667,1363,936,59.29,1033,731,58.56,746,534,58.28,92,36,71.88,65.14,42.44,60.55,730,456,61.55,287,177,61.85,43,22,66.15,443,279,61.36,35,12,74.47,587,435,57.44,14,2,87.5,12.33,93.26,1.056,205,245,191,889,51.77,412,347,369,52.75
2021-2022,Nikita Zadorov,CGY,D,74,1162.9,1269,873,59.24,965,695,58.13,676,511,56.95,45,38,54.22,53.19,42.71,55.47,602,445,57.5,215,177,54.85,22,16,57.89,387,268,59.08,16,16,50,591,383,60.68,7,6,53.85,6.66,92.56,0.992,156,154,100,1271,60.94,402,246,245,62.13
2021-2022,Andrew Mangiapane,CGY,L,82,989.9333333,1145,791,59.14,862,603,58.84,618,425,59.25,49,33,59.76,50.93,36.69,58.12,578,381,60.27,227,158,58.96,25,15,62.5,351,223,61.15,18,15,54.55,518,370,58.33,6,3,66.67,7.93,92.24,1.002,189,223,152,799,55.43,351,311,278,55.8
2021-2022,Drew Doughty,L.A,D,39,750.95,782,547,58.84,593,423,58.37,444,310,58.89,35,33,51.47,34.17,27.25,55.63,389,287,57.54,144,124,53.73,22,22,50,245,163,60.05,4,9,30.77,412,264,60.95,9,2,81.82,7.88,89.35,0.972,117,135,95,463,55.19,261,236,213,55.06
2021-2022,Carter Verhaeghe,FLA,C,78,1076.066667,1257,880,58.82,943,673,58.35,692,516,57.28,59,38,60.82,60.13,44.76,57.33,694,489,58.66,285,201,58.64,29,22,56.86,409,288,58.68,22,10,68.75,501,338,59.71,8,6,57.14,8.53,92.64,1.012,144,282,124,773,53.73,340,400,306,52.63
2021-2022,Jordan Martinook,CAR,L,59,623.4166667,680,479,58.67,504,383,56.82,338,276,55.05,24,23,51.06,27.41,23.41,53.93,289,239,54.73,133,119,52.78,14,17,45.16,156,120,56.52,7,5,58.33,345,205,62.73,3,1,75,7.1,91.67,0.988,138,134,62,494,69,247,183,162,60.39
